,0
0,6790.070784279231
1,6340.979465822274
2,9486.682433741886
3,9968.834534326925
4,10380.817960659724
5,6582.141828553457
6,12969.941202987015
7,11458.389726252666
8,7193.336145122216
9,11131.373461860736
10,2685.987526329209
11,8082.4346781755885
12,7033.797984479326
13,12076.260296657238
14,12435.027317253067
15,6077.022886015206
16,12189.670095454498
17,10509.330562666628
18,9776.469601267037
19,7788.1322584778145
20,11458.300643696251
21,6487.299988804273
22,13146.857619360375
23,13298.824070253828
24,4793.06746488419
25,10556.570186620145
26,8321.806340678753
27,12509.065200017889
28,11746.707797823648
29,7350.7965083597455
30,8055.260176023162
31,5438.486672798966
32,2625.667855503707
33,5599.468849692836
34,5514.622416622748
35,10282.477837384155
36,8979.301131634154
37,11992.803028122342
38,10432.162141554832
39,5358.350715072239
40,4753.211269604672
41,10610.794191576477
42,12731.034172321968
43,13273.383908182182
44,11808.71811235569
45,13057.298063376193
46,7753.53354902895
47,12108.657418800858
48,12004.60808786732
49,11755.671746900603
50,12727.572515329419
51,10254.540120598667
52,5534.723380179741
53,11509.638581099027
54,3411.832322219223
55,10634.490008722021
56,10192.267545581974
57,12416.517452027052
58,9772.12622690832
59,10083.417793913575
60,9063.035731287528
61,10373.86329198332
62,12414.368441032126
63,9332.001677904573
64,9449.28817371269
65,9816.321115786031
66,5892.680126425732
67,7806.277243578375
68,7959.53896249625
69,8990.253082179855
70,5880.201583527524
71,11452.923181064698
72,10294.438736190292
73,10306.505064798197
74,8966.164842029557
75,6198.539856907339
76,8554.276979514678
77,10023.426206219568
78,13041.919064653523
79,10167.10865377969
80,13100.292653049346
81,7280.674197635355
82,5371.2607028914745
83,11729.008547585956
84,9911.771008175041
85,11411.984169669267
86,13209.136458437577
87,9490.894876009523
88,12337.1042055868
89,13242.139382167456
90,9107.401406362464
91,11636.370763520787
92,9506.281181661141
93,8364.450323451736
94,5490.86037906785
95,8645.714571691738
96,12021.493020843018
97,8764.473368320401
98,8369.881291661599
99,7635.341158432632
100,7438.364460616033
101,1797.8622433613127
102,9814.494543286593
103,12059.447156317601
104,9348.34114361667
105,13028.88969806084
106,8366.639617572817
107,8037.683850964664
108,11949.72147985673
109,7768.636415826412
110,6393.06662552364
111,13075.235588151218
112,9038.586329217256
113,6833.756016839059
114,3474.9773493566995
115,12667.737787673988
116,12252.902849803904
117,10530.244941388926
118,8651.561461226771
119,8487.804678952321
120,5821.393499579291
121,11166.964287456542
122,4797.179416258607
123,9058.854263006246
124,6502.732754407971
125,11169.756437599655
126,8133.298275440105
127,9894.397926507689
128,9102.756982668254
129,11173.168697208803
130,8176.839782677134
131,12411.66060254783
132,12566.123881887486
133,7610.541895757658
134,13142.027671778389
135,13108.585398848008
136,11147.961090993525
137,8143.605538733395
138,11974.892634964352
139,8837.89416573175
140,5184.235843647447
141,1312.3526440197943
142,4646.780941989101
143,9844.845274586363
144,6978.631890042798
145,11638.106160058285
146,13159.10868646768
147,9053.78235296915
148,11461.91487268871
149,13054.16607003701
150,1320.7398115899796
151,12959.106457630573
152,13269.597243958306
153,12085.853144653014
154,10851.448852826727
155,8591.215172792767
156,9687.802368183851
157,11885.780469237636
158,8000.4524646605105
159,8562.281445914632
160,11361.908370439107
161,579.2424561457467
162,9396.328683249552
163,12266.731020388283
164,8375.4028174779
165,12314.350911402402
166,10497.410442858754
167,10815.349209991959
168,8260.38885790118
169,5020.057680014475
170,8043.605892054244
171,9961.039956899374
172,13020.317841585364
173,4967.830107813915
174,5261.7637716683475
175,3872.506703301519
176,5300.382691946833
177,5661.282817629252
